"CreatedById","CreatedDate","Id","IsDeleted","LastModifiedById","LastModifiedDate","LastReferencedDate","LastViewedDate","Name","OwnerId","SystemModstamp","reismobj__APIItemGroup__c","reismobj__APIItem__c","reismobj__AccountDetailField__c","reismobj__AccountField__c","reismobj__CatalogItemDetailField__c","reismobj__CatalogItemField__c","reismobj__ContactField__c","reismobj__DistributionPriceField__c","reismobj__FixedValue__c","reismobj__OrderDetailField__c","reismobj__OrderField__c","reismobj__OrderItemDetailField__c","reismobj__OrderItemField__c","reismobj__TargetEC__c"
"005d5000004TiwDAAS","2026-02-19T12:13:16.000Z","a08RB00001EVTiFYAX","false","005d5000004TiwDAAS","2026-02-19T12:13:16.000Z","","","Customer_customer_type_name","005d5000004TiwDAAS","2026-02-19T12:13:16.000Z","Customer","customer_type_name","","ecf_customer_type_name__c","","","","","","","","","","ecforce"
"005d5000004TiwDAAS","2026-02-19T12:13:16.000Z","a08RB00001EVTiGYAX","false","005d5000004TiwDAAS","2026-02-19T12:13:16.000Z","","","Customer_optin","005d5000004TiwDAAS","2026-02-19T12:13:16.000Z","Customer","optin","","ecf_optin__c","","","","","","","","","","ecforce"
"005d5000004TiwDAAS","2026-02-19T12:13:16.000Z","a08RB00001EVTiHYAX","false","005d5000004TiwDAAS","2026-02-19T12:13:16.000Z","","","Customer_line_id","005d5000004TiwDAAS","2026-02-19T12:13:16.000Z","Customer","line_id","","ecf_line_id__c","","","","","","","","","","ecforce"
"005d5000004TiwDAAS","2026-02-19T12:13:16.000Z","a08RB00001EVTiIYAX","false","005d5000004TiwDAAS","2026-02-19T12:13:16.000Z","","","Customer_tenant_id","005d5000004TiwDAAS","2026-02-19T12:13:16.000Z","Customer","tenant_id","","ecf_tenant_id__c","","","","","","","","","","ecforce"
"005d5000004TiwDAAS","2026-02-19T12:13:16.000Z","a08RB00001EVTiJYAX","false","005d5000004TiwDAAS","2026-02-19T12:13:16.000Z","","","Customer_mail_delivery_stop","005d5000004TiwDAAS","2026-02-19T12:13:16.000Z","Customer","mail_delivery_stop","","ecf_mail_delivery_stop__c","","","","","","","","","","ecforce"
"005d5000004TiwDAAS","2026-02-19T12:13:16.000Z","a08RB00001EVTiKYAX","false","005d5000004TiwDAAS","2026-02-19T12:13:16.000Z","","","Customer_np_royal_customer","005d5000004TiwDAAS","2026-02-19T12:13:16.000Z","Customer","np_royal_customer","","ecf_np_royal_customer__c","","","","","","","","","","ecforce"
"005d5000004TiwDAAS","2026-02-19T12:13:16.000Z","a08RB00001EVTiLYAX","false","005d5000004TiwDAAS","2026-02-19T12:13:16.000Z","","","Customer_blacklist","005d5000004TiwDAAS","2026-02-19T12:13:16.000Z","Customer","blacklist","","ecf_blacklist__c","","","","","","","","","","ecforce"
"005d5000004TiwDAAS","2026-02-19T12:13:16.000Z","a08RB00001EVTiMYAX","false","005d5000004TiwDAAS","2026-02-19T12:13:16.000Z","","","Customer_blacklist_reasons","005d5000004TiwDAAS","2026-02-19T12:13:16.000Z","Customer","blacklist_reasons","","ecf_blacklist_reasons__c","","","","","","","","","","ecforce"
"005d5000004TiwDAAS","2026-02-19T12:13:16.000Z","a08RB00001EVTiNYAX","false","005d5000004TiwDAAS","2026-02-19T12:13:16.000Z","","","Customer_labels","005d5000004TiwDAAS","2026-02-19T12:13:16.000Z","Customer","labels","","ecf_labels__c","","","","","","","","","","ecforce"
"005d5000004TiwDAAS","2026-02-19T12:13:16.000Z","a08RB00001EVTiOYAX","false","005d5000004TiwDAAS","2026-03-17T07:41:33.000Z","","","Customer_coupon_codes","005d5000004TiwDAAS","2026-03-17T07:41:33.000Z","Customer","coupon_codes","","ecf_coupon_codes__c","","","","","","","ecf_coupon_codes__c","","","ecforce"
